"id","submitdate","lastpage","startlanguage","seed","age","gender","Consent","Agree","story","evaluation[narcohstr]","evaluation[content]","evaluation[suspense]","evaluation[quality]","evaluation[like]","genre","story2","evaluation2[narcohstr]","evaluation2[content]","evaluation2[suspense]","evaluation2[quality]","evaluation2[like]","genre2","story3","evaluation3[narcohstr]","evaluation3[content]","evaluation3[suspense]","evaluation3[quality]","evaluation3[like]","genre3","story4","evaluation4[narcohstr]","evaluation4[content]","evaluation4[suspense]","evaluation4[quality]","evaluation4[like]","genre4","number[1]","number[2]","number[3]","number[4]"
"1","1980-01-01 00:00:00","7","en","2105037996","24","1","","Agree","","0","1","1","0","0","mex","","4","3","3","3","3","vamp","","4","3","1","3","0","fab","","0","0","2","1","0","vamp","1","3","2","0"
"5","1980-01-01 00:00:00","7","en","314520787","28","1","","Agree","","2","2","2","2","1","fab","","4","4","3","4","3","vamp","","4","4","4","4","4","celt","","1","3","3","2","2","vamp","1","2","0","3"
"6","1980-01-01 00:00:00","7","en","829695784","37","0","","Agree","","1","1","1","1","0","fab","","2","1","1","1","0","vamp","","0","1","0","1","0","fab","","0","1","0","0","0","vamp","1","0","2","3"
"7","1980-01-01 00:00:00","7","en","1894837002","24","0","","Agree","","1","2","1","1","1","celt","","4","4","3","4","3","vamp","","2","4","2","2","2","mex","","0","0","0","1","0","vamp","1","2","3","0"
"8","1980-01-01 00:00:00","7","en","976417840","31","1","","Agree","","3","4","4","3","1","celt","","1","3","0","1","1","vamp","","0","1","2","0","1","mex","","1","1","0","1","1","vamp","0","3","1","2"
"12","1980-01-01 00:00:00","7","en","1097828734","26","0","","Agree","","2","4","0","3","2","vamp","","5","4","5","5","4","vamp","","5","3","3","4","4","celt","","4","3","4","4","3","vamp","1","3","0","2"
"13","1980-01-01 00:00:00","7","en","672862386","38","0","","Agree","","2","3","3","2","1","celt","","5","4","4","5","5","vamp","","2","2","3","2","2","mex","","2","4","4","3","3","vamp","1","2","3","0"
"14","1980-01-01 00:00:00","7","en","1196253772","40","0","","Agree","","5","4","5","5","5","mex","","6","6","6","6","6","vamp","","2","4","5","2","3","mex","","1","3","3","3","4","vamp","0","1","2","3"
"15","1980-01-01 00:00:00","7","en","2024654649","33","1","","Agree","","3","1","2","1","0","mex","","5","5","5","5","5","vamp","","1","2","2","1","0","mex","","4","4","5","4","5","vamp","1","3","2","0"
"16","1980-01-01 00:00:00","7","en","1960069876","34","1","","Agree","","2","2","2","1","0","mex","","3","3","4","2","5","vamp","","2","2","3","1","0","mex","","4","5","4","4","5","vamp","1","3","2","0"
